Breßem/Greßem,Gudgeon,fish,Stück (Piece),13973,523,1196,694,,,,,,13973,107,,64,,,,,225,,,,,,,,,,,,,,
Neünaugen: Frische Morchnen / Maröhnen,lamprey,fish,Stück (Piece),1220,1220,,420,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Quappen,burpot,fish,Stück (Piece),1798,1798,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
Roßmucken,spiced Gudgeon (see scriviner),fish,Stück (Piece),143,143,,66,,,,,,34,,,0,,,,,,,,,,,,,,,,,,,
LachßfahrenLachßfahren,salmon trout,fish,Stück (Piece),39,39,,,,,,0,,18,,,0,19,,,,,,,,,,,,,,,,,,
Zant,Zander?,fish,Stück (Piece),8,8,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Steinbutter,turbot,fish,Stück (Piece),1,,1,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,
PomuschlnPomuschln,Haddock,fish,Stück (Piece),20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flundern,Flounder,fish,Stück (Piece),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zertten,?,fish,Stück (Piece),20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strömlinge,North Sea or Atlantic Herring (Clupea harengus L.),fish,Stück (Piece),0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Welße,Wels Catfish,fish,Stück (Piece),1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Stör,sturgeon,fish,Stück (Piece),3,1,,,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,
Stückcarußen [Larußen?],?,fish,Stof,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speißcarußin ,?,fish,Stof,1776,1776,,1321,,,,288,,,,,0,,,,,,,,,,,,,,,,,,,
Speißfische,,fish,Stof,5280,5280,4032,3576,,,,0,,1188,,,156,,,,,,,,,,84,,,,,,,,,
Perschken,perch,fish,Stück (Piece),60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmerllen,chameleon loach,fish,Stück (Piece),1311,,,,,,,,,,,,,1311,360,,,,,,,,780,,,300,,,,,,
Schnecken,snails,seafood,Stück,420,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,
Schleÿen,Tench/Doctor fish,fish,Stof,266,1,,266,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Krebße,crabs,seafood,Stück (Piece),3315,,,,,,,,,,,,,3315,240,,,,,,,,,,,300,,,,,,
Pökelfische: Heringe,pickled herring,fish,Stof (1/192 of a Fass),3240,876,1560,3240,,,,,,1752,156,,,48,,,,,,,,,,,,,,,,,,
Pökelfische: Lachß,pickled salmon,fish,Stof (1/192 of a Fass),1920,192,1080,,,,,0,,1920,,,0,,,,,,,,,,,,,,,,,,,
Pökelfische: Zant,pickled zander,fish,Stof (1/192 of a Fass),12160,12160,,2844,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
Pökelfische: Hecht,pickled pike,fish,Stof (1/192 of a Fass),1848,1848,120,100,,,,24,,1152,96,,0,,,,,,,,,,,,,,,,,,,
Pökelfische: Karpffen,pickled carp,fish,Stof (1/192 of a Fass),2388,2388,,228,,,,,,0,384,,0,,,,,,,,,,,,,,,,,,,
Pökelfische: Ahl,pickled eel,seafood,Stof (1/192 of a Fass),18600,18600,1572,1200,,,,,,136,1248,,,,,,,,96,96,,,,,,,,,,,,
Eingemachte Neünaugen,jellied eel,fish,Stof (1/192 of a Fass),240,24,240,48,,,,,,96,226,,132,,,,,,,,,,,,,,,,,,,
Pökel Morehnen,pickled lamprey,fish,Stof (1/192 of a Fass),300,192,264,300,,,,12,,96,,,,,,,,,,,,,,,,,,,,,,
Dorsch,cod,fish,Stof (1/192 of a Fass),2652,1356,744,1668,,,,0,,2652,624,,,,,,,,,,,,192,,144,,,,,,,
Pökel Breßem -Greßem?],pickled Gudgeon,fish,Stof (1/192 of a Fass),348,24,348,120,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
Pökel Schnepeln [Schäpel in Frischbier],European whitefish,fish,Stof (1/192 of a Fass),268,144,,268,,,,0,,96,,,168,,,,,,,,,,,,144,,,,,,,
Pökel Speißfische,"various small fish (see Krünitz, <13, 505>)",fish,Stof (1/192 of a Fass),156,96,132,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auster,oysters,seafood,Stof (1/192 of a Fass),18432,3456,2592,192,,480,,,,18432,384,,768,1727,,,,,,,,,,,,,,,,,,
 Why empty?,,fish,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pökel Stor (1659),pickled sturgeon,fish,Stof (1/192 of a Fass),1200,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,
Eingemachter Stör,preserved sturgeon,fish,Pfund (lb),423.5,,,,,,,0,,423.5,,,,,,,,,,,,,,,,,,,,,,
Sarttelen,sardines ,fish,Stof (1/192 of a Fass),3648,,,,,96,,0,,,3648,,48,,,,,,,,,,,,,,,,,,,
Bergerfisch,dried cod,fish,Pfund (lb),1169,497,565,1169,,,,0,,118.6,289,,49,,,,,,,,,,88,,,,,,,,,
Spurtten,?,fish,Stück (Piece),4610,4610,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,
Rügische Gotton [Butten?],?,fish,Stof (1/192 of a Fass),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treüge Lächße,dried salmon,fish,Stück (Piece),64,61,37,8,,,,0,,48,64,,62.25,,,,,,,,,,,,,,,,,,,
Treüg riemen Lachß,half-smoked salmon,fish,Stück (Piece),23,19,,0,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
Treüge hecht,dried pike,fish,Stück (Piece),568,568,15,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
Treüge Breßem,dried white (or silver/common) bream,fish,Stück (Piece),900,,,,,,,0,,,,,401,,,720,900,,,450,,,,,,,,,,,,
Treüge Halbbreßem,half dried white bream,fish,Stück (Piece),538,162,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
